idx,emoji,category,codepoints
181,🦈,Animals & Nature,1F988
182,🐊,Animals & Nature,1F40A
183,🐅,Animals & Nature,1F405
184,🐆,Animals & Nature,1F406
185,🦓,Animals & Nature,1F993
186,🦍,Animals & Nature,1F98D
187,🦧,Animals & Nature,1F9A7
188,🦣,Animals & Nature,1F9A3
189,🐘,Animals & Nature,1F418
190,🦛,Animals & Nature,1F99B
191,🦏,Animals & Nature,1F98F
192,🐪,Animals & Nature,1F42A
193,🐫,Animals & Nature,1F42B
194,🦒,Animals & Nature,1F992
195,🦘,Animals & Nature,1F998
196,🦬,Animals & Nature,1F9AC
197,🐃,Animals & Nature,1F403
198,🐂,Animals & Nature,1F402
199,🐄,Animals & Nature,1F404
200,🐎,Animals & Nature,1F40E
201,🐖,Animals & Nature,1F416
202,🐏,Animals & Nature,1F40F
203,🐑,Animals & Nature,1F411
204,🦙,Animals & Nature,1F999
205,🐐,Animals & Nature,1F410
206,🦌,Animals & Nature,1F98C
207,🐕,Animals & Nature,1F415
208,🐩,Animals & Nature,1F429
209,🦮,Animals & Nature,1F9AE
210,🐕‍🦺,Animals & Nature,1F415 200D 1F9BA
211,🐈,Animals & Nature,1F408
212,🐈‍⬛,Animals & Nature,1F408 200D 2B1B
213,🪶,Animals & Nature,1FAB6
214,🐓,Animals & Nature,1F413
215,🦃,Animals & Nature,1F983
216,🦤,Animals & Nature,1F9A4
217,🦚,Animals & Nature,1F99A
218,🦜,Animals & Nature,1F99C
219,🦢,Animals & Nature,1F9A2
220,🦩,Animals & Nature,1F9A9
222,🐇,Animals & Nature,1F407
223,🦝,Animals & Nature,1F99D
224,🦨,Animals & Nature,1F9A8
225,🦡,Animals & Nature,1F9A1
226,🦫,Animals & Nature,1F9AB
227,🦦,Animals & Nature,1F9A6
228,🦥,Animals & Nature,1F9A5
229,🐁,Animals & Nature,1F401
230,🐀,Animals & Nature,1F400
232,🦔,Animals & Nature,1F994
233,🐾,Animals & Nature,1F43E
234,🐉,Animals & Nature,1F409
235,🐲,Animals & Nature,1F432
236,🐚,Animals & Nature,1F41A
237,😀,Smileys & Emotion,1F600
238,😃,Smileys & Emotion,1F603
239,😄,Smileys & Emotion,1F604
240,😁,Smileys & Emotion,1F601
241,😆,Smileys & Emotion,1F606
242,😅,Smileys & Emotion,1F605
243,🤣,Smileys & Emotion,1F923
244,😂,Smileys & Emotion,1F602
245,🙂,Smileys & Emotion,1F642
246,🙃,Smileys & Emotion,1F643
247,😉,Smileys & Emotion,1F609
248,😊,Smileys & Emotion,1F60A
249,😇,Smileys & Emotion,1F607
250,🥰,Smileys & Emotion,1F970
251,😍,Smileys & Emotion,1F60D
252,🤩,Smileys & Emotion,1F929
253,😘,Smileys & Emotion,1F618
254,😗,Smileys & Emotion,1F617
256,😚,Smileys & Emotion,1F61A
257,😙,Smileys & Emotion,1F619
258,🥲,Smileys & Emotion,1F972
259,😋,Smileys & Emotion,1F60B
260,😛,Smileys & Emotion,1F61B
261,😜,Smileys & Emotion,1F61C
262,🤪,Smileys & Emotion,1F92A
263,😝,Smileys & Emotion,1F61D
264,🤑,Smileys & Emotion,1F911
265,🤗,Smileys & Emotion,1F917
266,🤭,Smileys & Emotion,1F92D
267,🤫,Smileys & Emotion,1F92B
268,🤔,Smileys & Emotion,1F914
269,🤐,Smileys & Emotion,1F910
270,🤨,Smileys & Emotion,1F928
271,😐,Smileys & Emotion,1F610
272,😑,Smileys & Emotion,1F611
273,😶,Smileys & Emotion,1F636
274,😶‍🌫️,Smileys & Emotion,1F636 200D 1F32B FE0F
